Country,Year,GDP_Per_Capita
"Korea, Rep.",1987,3554.606009
"Venezuela, RB",1987,2610.988371
"Iran, Islamic Rep.",1987,2513.151116
Latvia,1987,..
Panama,1987,2966.009679
Ethiopia,1987,254.1213294
World,1987,3474.590175
Chile,1988,2003.363504
Bangladesh,1988,247.901466
Nauru,1988,5011.580315
Nicaragua,1988,662.3081966
Norway,1988,24207.28147
Namibia,1988,2062.579976
New Zealand,1988,13759.15563
United States,1988,21417.01193
Niger,1988,292.5878785
"Korea, Rep.",1988,4748.640644
"Venezuela, RB",1988,3191.476337
"Iran, Islamic Rep.",1988,2234.462351
Latvia,1988,..
Panama,1988,2508.782293
Ethiopia,1988,253.2482625
World,1988,3814.11018
Chile,1989,2265.359377
Bangladesh,1989,263.0057208
Nauru,1989,5722.767422
Nicaragua,1989,249.1554741
Norway,1989,24281.13041
Namibia,1989,1966.827028
New Zealand,1989,13312.38559
United States,1989,22857.15443
Niger,1989,271.2665579
"Korea, Rep.",1989,5817.065567
"Venezuela, RB",1989,2250.084597
"Iran, Islamic Rep.",1989,2124.972148
Latvia,1989,..
Panama,1989,2462.110225
Ethiopia,1989,256.3864753
World,1989,3914.759662
Chile,1990,2466.130142
Bangladesh,1990,283.0537371
Nauru,1990,5775.553474
Nicaragua,1990,242.5083887
Norway,1990,28242.9814
Namibia,1990,2037.475894
New Zealand,1990,13663.02162
United States,1990,23888.60001
Niger,1990,423.8874606
"Korea, Rep.",1990,6609.997283
"Venezuela, RB",1990,2451.552311
"Iran, Islamic Rep.",1990,2137.942227
Latvia,1990,..
Panama,1990,2620.138273
Ethiopia,1990,262.1089711
World,1990,4337.862517
Chile,1991,2770.079646
Bangladesh,1991,272.0649485
Nauru,1991,5333.379549
Nicaragua,1991,349.5143186
Norway,1991,28596.933
Namibia,1991,2116.905525
New Zealand,1991,12230.07345
United States,1991,24342.2589
Niger,1991,384.4431168
"Korea, Rep.",1991,7636.948064
"Venezuela, RB",1991,2632.539698
"Iran, Islamic Rep.",1991,2194.439068
Latvia,1991,..
Panama,1991,2820.545477
Ethiopia,1991,277.5659104
World,1991,4437.537092
Chile,1992,3309.399239
Bangladesh,1992,273.4650725
Nauru,1992,5102.596859
Nicaragua,1992,411.4733307
Norway,1992,30523.98506
Namibia,1992,2346.86243
New Zealand,1992,11793.13924
United States,1992,25418.99078
Niger,1992,384.0296573
"Korea, Rep.",1992,8126.662062
"Venezuela, RB",1992,2907.303344
"Iran, Islamic Rep.",1992,1957.485078
Latvia,1992,..
Panama,1992,3139.899529
Ethiopia,1992,207.4064009
World,1992,4661.973917
Chile,1993,3494.994609
Bangladesh,1993,280.7572745
Nauru,1993,4310.244333
Nicaragua,1993,394.378074
Norway,1993,27963.69791
Namibia,1993,2154.964737
New Zealand,1993,13094.34545
United States,1993,26387.29373
Niger,1993,335.4295819
"Korea, Rep.",1993,8884.919464
"Venezuela, RB",1993,2824.691444
"Iran, Islamic Rep.",1993,1038.109857
Latvia,1993,..
Panama,1993,3358.414117
Ethiopia,1993,168.5204014
World,1993,4664.794146
Chile,1994,3981.390189
Bangladesh,1994,280.6030318
Nauru,1994,3920.53973
Nicaragua,1994,849.1793314
Norway,1994,29315.80923
Namibia,1994,2355.904457
New Zealand,1994,15280.31278
United States,1994,27694.85342
Niger,1994,206.2146171
"Korea, Rep.",1994,10385.39046
"Venezuela, RB",1994,2688.983251
"Iran, Islamic Rep.",1994,1167.762725
Latvia,1994,..
Panama,1994,3508.195701
Ethiopia,1994,127.6859235
World,1994,4944.722286
Chile,1995,5055.614062
Bangladesh,1995,309.4586808
Nauru,1995,3932.091094
Nicaragua,1995,891.7793523
Norway,1995,34875.70433
Namibia,1995,2483.203534
New Zealand,1995,17400.42018
United States,1995,28690.8757
Niger,1995,237.0199896
"Korea, Rep.",1995,12564.72437
"Venezuela, RB",1995,3486.983506
"Iran, Islamic Rep.",1995,1550.009596
Latvia,1995,2256.773604
Panama,1995,3513.897379
Ethiopia,1995,136.5236191
World,1995,5430.078974
Chile,1996,5333.504387
Bangladesh,1996,371.9179377
Nauru,1996,3678.562429
Nicaragua,1996,910.8616459
Norway,1996,37321.9742
Namibia,1996,2423.398291
New Zealand,1996,18794.43604
United States,1996,29967.71272
Niger,1996,239.4945132
"Korea, Rep.",1996,13402.9946
"Venezuela, RB",1996,3112.825848
"Iran, Islamic Rep.",1996,1914.781213
Latvia,1996,2360.171482
Panama,1996,3308.184296
Ethiopia,1996,147.3274589
World,1996,5472.953822
Chile,1997,5741.95843
Bangladesh,1997,379.2849177
Nauru,1997,3661.028467
Nicaragua,1997,912.7573976
Norway,1997,36629.0309
Namibia,1997,2459.645118
New Zealand,1997,17474.18703
United States,1997,31459.12997
Niger,1997,220.5629572
"Korea, Rep.",1997,12398.49045
"Venezuela, RB",1997,3710.826884
"Iran, Islamic Rep.",1997,1790.066176
Latvia,1997,2609.893087
Panama,1997,3545.976709
Ethiopia,1997,143.3695315
World,1997,5375.474388
Chile,1998,5419.824173
Bangladesh,1998,385.6168818
Nauru,1998,2908.849865
Nicaragua,1998,949.1553735
Norway,1998,34803.46341
Namibia,1998,2235.245155
New Zealand,1998,14738.44557
United States,1998,32853.67259
Niger,1998,246.0908559
"Korea, Rep.",1998,8281.719483
"Venezuela, RB",1998,3869.982588
"Iran, Islamic Rep.",1998,1709.193341
Latvia,1998,2893.799987
Panama,1998,3807.838692
Ethiopia,1998,126.4650958
World,1998,5289.033108
Chile,1999,4933.555815
Bangladesh,1999,388.0956843
Nauru,1999,2682.694867
Nicaragua,1999,980.2197447
Norway,1999,36393.29275
Namibia,1999,2177.787334
New Zealand,1999,15322.22383
United States,1999,34515.38131
Niger,1999,228.2716561
"Korea, Rep.",1999,10672.44756
"Venezuela, RB",1999,4070.906192
"Iran, Islamic Rep.",1999,1739.59462
Latvia,1999,3063.897946
Panama,1999,3950.34145
Ethiopia,1999,120.7346315
World,1999,5387.448275
Chile,2000,5052.992458
Bangladesh,2000,396.6707302
Nauru,2000,2648.601529
Nicaragua,2000,1017.312443
Norway,2000,38178.23688
Namibia,2000,2156.675905
New Zealand,2000,13641.10272
United States,2000,36329.97026
Niger,2000,194.7719599
"Korea, Rep.",2000,12257.02066
"Venezuela, RB",2000,4776.281676
"Iran, Islamic Rep.",2000,1650.013858
Latvia,2000,3278.178964
Panama,2000,3975.093087
Ethiopia,2000,122.2692026
World,2000,5494.398872
Chile,2001,4563.595299
Bangladesh,2001,394.65641
Nauru,2001,2232.30874
Nicaragua,2001,1051.874236
Norway,2001,38601.89764
Namibia,2001,1915.589266
New Zealand,2001,13882.85683
United States,2001,37133.6204
Niger,2001,205.4179361
"Korea, Rep.",2001,11561.20717
"Venezuela, RB",2001,4920.393136
"Iran, Islamic Rep.",2001,1881.022666
Latvia,2001,3504.618295
Panama,2001,3991.776708
Ethiopia,2001,118.4572043
World,2001,5387.584998
Chile,2002,4430.847412
Bangladesh,2002,393.8864223
Nauru,2002,2084.648245
Nicaragua,2002,1014.333904
Norway,2002,43170.55717
Namibia,2002,1772.075655
New Zealand,2002,16874.18749
United States,2002,37997.74243
Niger,2002,225.2943911
"Korea, Rep.",2002,13165.08362
"Venezuela, RB",2002,3652.098965
"Iran, Islamic Rep.",2002,1891.257561
Latvia,2002,4003.609358
Panama,2002,4090.586174
Ethiopia,2002,109.5938136
World,2002,5521.932034
Chile,2003,4773.401775
Bangladesh,2003,426.7488075
Nauru,2003,2463.282591
Nicaragua,2003,1021.352167
Norway,2003,50250.32982
Namibia,2003,2569.247393
New Zealand,2003,21913.70817
United States,2003,39490.30239
